id,start_date,end_date,slope,slope_error,intercept,intercept_error,r2,dpoints
G007026E45991N,1984,2019,-0.037428188,0.008229609,8.905820962,0.140588993,0.58822906,616
G008132E61573N,1984,2019,-0.067963308,0.011463582,6.165494381,0.245172845,0.578892664,212
G014028E66722N,1984,2019,-0.068630127,0.036158395,10.00802927,0.297535067,0.38368675,346
G014367E66003N,1984,2019,-0.010383819,0.011453892,3.893167836,0.116904402,0.712293903,254
G017468E67583N,1984,2019,0.004442892,0.004183659,1.153240143,0.063204353,0.642866865,292
G017571E67471N,1984,2019,-0.177042286,0.095142698,8.767924194,0.620978609,0.395639353,196
G017655E67172N,1984,2019,-0.004052603,0.179642374,16.07883629,1.583644359,0.498454389,191
G017655E67449N,1984,2019,-0.053475498,0.055660107,6.603908483,0.370616046,0.322743474,226
G017693E67415N,1984,2019,-0.071244819,0.098827334,12.75188253,1.052353547,0.462046725,172
G018325E68360N,1984,2019,-0.029266628,0.006526777,1.542533452,0.088160003,0.621039126,278
G018384E68049N,1984,2019,-0.027668925,0.011470441,1.758752204,0.111962065,0.68846198,234
G018399E67969N,1984,2019,-0.028499875,0.005250501,1.357392401,0.085483178,0.681209659,255
G018428E68052N,1984,2019,-0.024686336,0.013022054,1.909185611,0.134294695,0.641332323,228
G018434E67976N,1984,2019,-0.027975614,0.005975778,1.460001824,0.077638989,0.672453822,258
G018564E67915N,1984,2019,-0.012574032,0.00880225,1.73350626,0.09481222,0.47783564,248
G018569E67903N,1984,2019,-0.033871968,0.027859871,4.966418911,0.28473162,0.454550577,243
G018574E68151N,1984,2019,-0.005450868,0.010309152,2.600051389,0.150295547,0.679379979,267
G018603E67938N,1984,2019,-0.006972253,0.005474441,0.996250009,0.063776191,0.633118183,166
G018686E68081N,1984,2019,-0.098938196,0.043109157,5.913922016,0.399662862,0.6090497,184
G037314E00157S,1984,2019,-0.007250943,0.000775128,0.12552506,0.0097448,0.447455708,187
G070137E39532N,1986,2019,-0.110142855,0.028671102,11.39180145,0.40068259,0.68944302,288
G071570E39610N,1988,2019,0.154847838,0.080015958,63.67370728,0.848871789,0.693555973,179
G072469E38099N,1989,2019,0.00350748,0.045271171,8.429593197,0.229379195,0.704213021,76
G072533E38016N,1993,2019,-0.075633604,0.053566052,13.55017742,0.229918742,0.860919794,63
G072559E37965N,1989,2019,0.004767558,0.004371761,2.858722556,0.043881722,0.831731968,101
G072629E37727N,1988,2019,-0.000104761,0.003014689,1.988705871,0.034374634,0.70413685,248
G072699E37702N,1990,2019,-0.004820098,0.008131351,5.345764427,0.077162658,0.842804633,164
G072709E38006N,1988,2019,0.01504045,0.007712828,6.92477514,0.081262172,0.786089318,159
