"","dates","areas","time"
"1",1984.2650273224,2.268,-35.7349726775956
"2",1984.37704918033,2.2383,-35.622950819672
"3",1984.39617486339,2.1528,-35.6038251366119
"4",1984.42076502732,1.7199,-35.5792349726776
"5",1984.81420765027,0.3744,-35.1857923497269
"6",1985.14520547945,0.6723,-34.854794520548
"7",1985.40273972603,2.2401,-34.5972602739726
"8",1985.4904109589,1.1781,-34.509589041096
"9",1986.4602739726,1.6326,-33.5397260273974
"10",1986.47945205479,1.5543,-33.5205479452054
"11",1986.54794520548,1.3689,-33.4520547945206
"12",1986.56712328767,0.3105,-33.4328767123288
"13",1986.65479452055,1.0971,-33.345205479452
"14",1987.16164383562,0.6786,-32.8383561643836
"15",1987.20547945205,0.963,-32.7945205479452
"16",1987.4,2.3427,-32.5999999999999
"17",1987.41917808219,2.3868,-32.5808219178082
"18",1987.53150684932,1.8207,-32.4684931506849
"19",1987.6,1.2357,-32.4000000000001
"20",1988.43169398907,1.8072,-31.5683060109291
"21",1988.47540983607,1.5957,-31.5245901639344
"22",1988.51366120219,1.4724,-31.4863387978141
"23",1988.64480874317,0.8289,-31.3551912568305
"24",1988.78142076503,0.5733,-31.2185792349726
"25",1989.13150684931,0.5085,-30.868493150685
"26",1989.76438356164,0.6561,-30.2356164383561
"27",1990.3095890411,2.1447,-29.6904109589041
"28",1990.42191780822,2.3202,-29.5780821917808
"29",1990.44109589041,2.1357,-29.5589041095891
"30",1990.46575342466,1.9467,-29.5342465753424
"31",1990.53424657534,1.7523,-29.4657534246576
"32",1990.57260273973,1.4328,-29.4273972602739
"33",1990.57808219178,1.3905,-29.4219178082192
"34",1991.58082191781,1.3284,-28.4191780821918
"35",1991.58630136986,1.152,-28.4136986301369
"36",1992.41803278689,2.2212,-27.5819672131147
"37",1992.71857923497,1.4409,-27.2814207650274
"38",1993.66301369863,1.3698,-26.33698630137
"39",1993.73150684932,1.0656,-26.2684931506849
"40",1993.7698630137,0.6417,-26.2301369863014
"41",1994.3397260274,2.3607,-25.6602739726027
"42",1994.52054794521,1.9359,-25.4794520547946
"43",1994.60821917808,1.278,-25.3917808219178
"44",1994.62739726027,1.4976,-25.3726027397261
"45",1994.64657534247,0.8856,-25.3534246575343
"46",1995.57260273973,1.5291,-24.4273972602739
"47",1995.70410958904,1.0107,-24.2958904109589
"48",1995.74794520548,0.7371,-24.2520547945205
"49",1995.78630136986,0.5319,-24.2136986301371
"50",1996.6174863388,0.6264,-23.3825136612022
"51",1996.62295081967,1.287,-23.377049180328
"52",1996.75409836066,0.7731,-23.2459016393443
"53",1997.25479452055,1.7883,-22.7452054794521
"54",1997.36712328767,2.2635,-22.6328767123289
"55",1997.44931506849,1.8801,-22.5506849315068
"56",1997.53698630137,1.4607,-22.4630136986302
"57",1997.56164383562,1.413,-22.4383561643835
"58",1998.61369863014,0.7695,-21.3863013698631
"59",1998.67671232877,1.1475,-21.3232876712329
"60",1999.61917808219,1.8999,-20.3808219178081
"61",1999.68767123288,1.5624,-20.3123287671233
"62",1999.71232876712,0.468,-20.2876712328766
"63",1999.73150684932,0.3726,-20.2684931506849
"64",1999.75068493151,0.54,-20.2493150684932
"65",2000.1693989071,0.6858,-19.8306010928961
"66",2000.32513661202,2.2032,-19.6748633879781
"67",2000.38797814208,2.232,-19.6120218579235
"68",2000.49453551913,1.7352,-19.5054644808743
"69",2000.56284153005,1.3986,-19.4371584699454
"70",2000.73770491803,0.6381,-19.2622950819673
"71",2000.75683060109,0.4122,-19.2431693989072
"72",2000.82513661202,0.2673,-19.1748633879781
"73",2000.84426229508,0.3195,-19.155737704918
"74",2001.19452054795,1.0827,-18.8054794520549
"75",2001.24383561644,1.6515,-18.7561643835616
"76",2001.48219178082,1.6857,-18.5178082191781
"77",2001.63287671233,0.6939,-18.3671232876711
"78",2001.63835616438,0.3294,-18.3616438356164
"79",2001.72602739726,0.2511,-18.2739726027398
"80",2002.24657534247,1.7658,-17.7534246575342
"81",2002.29589041096,2.1546,-17.7041095890411
"82",2002.35890410959,2.2527,-17.641095890411
"83",2002.40273972603,2.0484,-17.5972602739726
"84",2002.42191780822,1.8531,-17.5780821917808
"85",2002.51506849315,1.5354,-17.4849315068493
"86",2002.55342465753,1.4301,-17.4465753424658
"87",2002.60273972603,1.0206,-17.3972602739725
"88",2002.62191780822,0.6759,-17.3780821917808
"89",2002.64109589041,0.297,-17.358904109589
"90",2002.64657534247,0.2565,-17.3534246575343
"91",2002.68493150685,1.3059,-17.3150684931506
"92",2002.6904109589,0.594,-17.3095890410959
"93",2002.75342465753,0.9378,-17.2465753424658
"94",2002.77808219178,0.7362,-17.2219178082191
"95",2003.17260273973,0.6894,-16.827397260274
"96",2003.27945205479,2.3256,-16.7205479452055
"97",2003.29863013699,2.052,-16.7013698630137
"98",2003.54246575342,0.999,-16.4575342465753
"99",2003.56164383562,0.4608,-16.4383561643835
"100",2003.60547945205,0.7992,-16.3945205479451
"101",2004.34972677596,1.6056,-15.6502732240438
"102",2004.39344262295,1.6803,-15.6065573770493
"103",2004.43989071038,2.3274,-15.5601092896175
"104",2004.50819672131,1.8414,-15.4918032786886
"105",2004.5737704918,0.9819,-15.4262295081967
"106",2004.74863387978,0.6408,-15.2513661202186
"107",2004.90163934426,2.3724,-15.0983606557377
"108",2005.31780821918,1.575,-14.682191780822
"109",2005.44657534247,2.3382,-14.5534246575342
"110",2005.49315068493,1.4553,-14.5068493150684
"111",2005.5095890411,1.6029,-14.490410958904
"112",2005.51232876712,1.6362,-14.4876712328767
"113",2005.51506849315,1.5885,-14.4849315068493
"114",2005.75068493151,0.6093,-14.2493150684932
"115",2006.27945205479,1.908,-13.7205479452055
"116",2006.34246575342,2.0673,-13.6575342465753
"117",2006.34520547945,2.0286,-13.654794520548
"118",2006.56712328767,1.2969,-13.4328767123288
"119",2006.58630136986,0.954,-13.4136986301369
"120",2006.58904109589,0.8082,-13.4109589041095
"121",2006.60547945205,1.0422,-13.3945205479451
"122",2006.61095890411,0.5409,-13.3890410958904
"123",2006.6301369863,0.7038,-13.3698630136987
"124",2006.64931506849,0,-13.3506849315067
"125",2006.65479452055,0.3915,-13.345205479452
"126",2006.73698630137,0.8406,-13.2630136986302
"127",2006.75890410959,0.4392,-13.2410958904109
"128",2006.76164383562,0.3528,-13.2383561643835
"129",2007.41643835616,1.7622,-12.5835616438355
"130",2007.41917808219,2.3805,-12.5808219178082
"131",2007.42191780822,1.611,-12.5780821917808
"132",2007.43835616438,2.1366,-12.5616438356165
"133",2007.50410958904,1.2789,-12.495890410959
"134",2007.50684931507,1.6776,-12.4931506849316
"135",2007.5095890411,1.2411,-12.490410958904
"136",2007.61369863014,0.5319,-12.3863013698631
"137",2008.42349726776,1.7595,-11.5765027322404
"138",2008.51639344262,1.359,-11.483606557377
"139",2008.64754098361,0.7803,-11.3524590163934
