"","X","dates","areas","time"
"1",1,1992.15027322404,16.6365,-27.8497267759562
"2",2,1993.43835616438,16.3404,-26.5616438356165
"3",3,1993.50684931507,15.9183,-26.4931506849316
"4",4,1993.5698630137,15.7572,-26.4301369863015
"5",5,1994.40273972603,16.3143,-25.5972602739726
"6",6,1994.4904109589,14.9985,-25.509589041096
"7",7,1994.66575342466,9.405,-25.3342465753424
"8",8,1995.36712328767,16.1172,-24.6328767123289
"9",9,1996.68032786885,10.62,-23.3196721311476
"10",10,1996.72404371585,10.2834,-23.2759562841529
"11",11,1997.68767123288,10.5732,-22.3123287671233
"12",12,1998.60821917808,12.6486,-21.3917808219178
"13",13,1998.69589041096,11.1303,-21.304109589041
"14",14,1998.78356164384,11.0178,-21.2164383561644
"15",15,1999.2904109589,16.3872,-20.7095890410958
"16",16,1999.68219178082,13.752,-20.317808219178
"17",17,2000.53825136612,14.994,-19.4617486338798
"18",18,2000.64480874317,12.1797,-19.3551912568305
"19",19,2000.6693989071,12.0798,-19.3306010928961
"20",20,2001.56438356164,11.2185,-18.4356164383562
"21",21,2001.63287671233,12.8763,-18.3671232876711
"22",22,2001.76438356164,10.9053,-18.2356164383561
"23",23,2001.85205479452,12.474,-18.1479452054793
"24",24,2002.42191780822,16.542,-17.5780821917808
"25",25,2002.44109589041,16.3395,-17.5589041095891
"26",26,2002.64109589041,12.3723,-17.358904109589
"27",27,2002.6602739726,11.5884,-17.3397260273973
"28",28,2003.53698630137,10.1484,-16.4630136986302
"29",29,2004.36885245902,11.6739,-15.6311475409836
"30",30,2004.61202185792,9.7362,-15.3879781420765
"31",31,2004.69945355191,8.541,-15.3005464480875
"32",32,2005.04931506849,7.7805,-14.9506849315069
"33",33,2005.55068493151,10.7334,-14.4493150684932
"34",34,2005.59452054795,9.5562,-14.4054794520548
"35",35,2005.61917808219,9.6804,-14.3808219178081
"36",36,2005.63835616438,8.9631,-14.3616438356164
"37",37,2005.66301369863,8.2071,-14.33698630137
"38",38,2005.68219178082,7.7328,-14.317808219178
"39",39,2006.32054794521,11.0745,-13.6794520547944
"40",40,2006.51506849315,9.9918,-13.4849315068493
"41",41,2006.55890410959,9.0009,-13.4410958904109
"42",42,2006.67123287671,8.5923,-13.3287671232877
"43",43,2006.6904109589,7.9083,-13.3095890410959
"44",44,2007.28493150685,11.0484,-12.7150684931507
"45",45,2007.43561643836,11.7756,-12.5643835616438
"46",46,2007.54794520548,9.7821,-12.4520547945206
"47",47,2007.59178082192,9.2007,-12.4082191780822
"48",48,2007.63561643836,8.7723,-12.3643835616438
"49",49,2007.69863013699,8.0712,-12.3013698630136
"50",50,2007.74246575342,7.1829,-12.2575342465752
"51",51,2007.76712328767,6.3135,-12.2328767123288
"52",52,2008.44262295082,11.1897,-11.5573770491803
"53",53,2008.44535519126,16.0794,-11.5546448087432
"54",54,2008.48633879781,9.9495,-11.5136612021859
"55",55,2008.50819672131,12.2787,-11.4918032786886
"56",56,2008.5737704918,6.3603,-11.4262295081967
"57",57,2008.59836065574,5.8878,-11.4016393442623
"58",58,2008.92349726776,7.6995,-11.0765027322404
"59",59,2009.53698630137,11.6937,-10.4630136986302
"60",60,2009.56164383562,10.881,-10.4383561643835
"61",61,2009.58082191781,11.1024,-10.4191780821918
"62",62,2009.60273972603,14.2002,-10.3972602739725
"63",63,2009.64657534247,13.0041,-10.3534246575343
"64",64,2009.64931506849,9.3438,-10.3506849315067
"65",65,2010.50136986301,11.9961,-9.49863013698632
"66",66,2010.54520547945,11.4849,-9.45479452054792
"67",67,2010.56712328767,14.958,-9.43287671232883
"68",68,2010.63287671233,9.3384,-9.36712328767112
"69",69,2010.63561643836,13.5792,-9.36438356164376
"70",70,2011.31232876712,16.3782,-8.68767123287671
"71",71,2011.31506849315,11.1447,-8.68493150684935
"72",72,2011.33698630137,16.4169,-8.66301369863004
"73",73,2011.48767123288,14.9841,-8.51232876712334
"74",74,2011.5095890411,10.6326,-8.49041095890402
"75",75,2011.59726027397,7.8318,-8.40273972602745
"76",76,2011.6,11.6262,-8.40000000000009
"77",77,2011.64109589041,6.5097,-8.35890410958905
"78",78,2011.64383561644,9.1035,-8.35616438356169
"79",79,2011.68493150685,6.7356,-8.31506849315065
"80",80,2011.75068493151,10.1943,-8.24931506849316
"81",81,2011.75342465753,7.4916,-8.2465753424658
"82",82,2012.45355191257,11.1483,-7.5464480874316
"83",83,2012.49726775956,11.0421,-7.50273224043713
"84",84,2012.51639344262,12.1743,-7.48360655737702
"85",85,2012.58469945355,10.2429,-7.41530054644818
"86",86,2012.64754098361,10.053,-7.35245901639337
"87",87,2012.6912568306,9.3492,-7.30874316939889
"88",88,2013.3698630137,16.5015,-6.6301369863013
"89",89,2013.41369863014,16.5384,-6.58630136986312
"90",90,2013.43561643836,11.943,-6.56438356164381
"91",91,2013.43835616438,16.4592,-6.56164383561645
"92",92,2013.45753424658,16.6356,-6.54246575342472
"93",93,2013.48219178082,16.2324,-6.51780821917805
"94",94,2013.50136986301,15.8778,-6.49863013698632
"95",95,2013.54520547945,14.4657,-6.45479452054792
"96",96,2013.56712328767,10.2438,-6.43287671232883
"97",97,2013.5698630137,14.6088,-6.43013698630148
"98",98,2013.58904109589,12.1383,-6.41095890410952
"99",99,2013.59178082192,8.8461,-6.40821917808216
"100",100,2013.65479452055,10.3779,-6.34520547945203
"101",101,2013.65753424658,14.1687,-6.34246575342468
"102",102,2013.69863013699,8.8236,-6.30136986301363
"103",103,2013.70136986301,12.591,-6.29863013698628
"104",104,2013.72328767123,7.9911,-6.27671232876719
"105",105,2013.74246575342,7.9263,-6.25753424657523
"106",106,2013.74520547945,11.1456,-6.25479452054788
"107",107,2013.76438356164,9.7596,-6.23561643835615
"108",108,2013.76712328767,7.083,-6.23287671232879
"109",109,2013.78630136986,6.9417,-6.21369863013706
"110",110,2014.24657534247,15.5853,-5.7534246575342
"111",111,2014.27123287671,16.5357,-5.72876712328775
"112",112,2014.40273972603,16.6383,-5.59726027397255
"113",113,2014.44657534247,16.6293,-5.55342465753415
"114",114,2014.53150684932,11.0601,-5.46849315068494
"115",115,2014.53424657534,15.5232,-5.46575342465758
"116",116,2014.55342465753,14.0508,-5.44657534246585
"117",117,2014.59726027397,11.8719,-5.40273972602745
"118",118,2014.6,8.4834,-5.40000000000009
"119",119,2014.68493150685,14.8527,-5.31506849315065
"120",120,2014.75342465753,12.8124,-5.2465753424658
"121",121,2014.8602739726,11.9475,-5.13972602739727
"122",122,2014.92876712329,10.539,-5.07123287671243
"123",123,2014.94794520548,10.0719,-5.05205479452047
"124",124,2015.03561643836,11.3058,-4.9643835616439
"125",125,2015.14794520548,14.4234,-4.85205479452065
"126",126,2015.21095890411,15.4107,-4.7890410958903
"127",127,2015.25479452055,16.2783,-4.74520547945212
"128",128,2015.27945205479,15.9984,-4.72054794520545
"129",129,2015.32328767123,16.3809,-4.67671232876705
"130",130,2015.36712328767,16.5879,-4.63287671232888
"131",131,2015.5397260274,10.4598,-4.46027397260264
"132",132,2015.60821917808,7.6185,-4.39178082191779
"133",133,2015.62739726027,8.6337,-4.37260273972606
"134",134,2015.67123287671,7.9785,-4.32876712328766
"135",135,2015.67397260274,11.6505,-4.3260273972603
"136",136,2015.7397260274,6.9264,-4.26027397260282
"137",137,2015.78082191781,9.9045,-4.21917808219177
"138",138,2015.78356164384,6.7779,-4.21643835616442
"139",139,2015.82465753425,12.8277,-4.17534246575337
"140",140,2015.91232876712,10.8963,-4.0876712328768
"141",141,2016.15573770492,13.2471,-3.84426229508199
"142",142,2016.17486338798,13.5711,-3.82513661202188
"143",143,2016.26229508197,16.353,-3.7377049180327
"144",144,2016.3306010929,16.4736,-3.66939890710387
"145",145,2016.34972677596,16.4736,-3.65027322404376
"146",146,2016.41803278689,16.6383,-3.58196721311469
"147",147,2016.45901639344,11.9925,-3.54098360655735
"148",148,2016.46174863388,16.3629,-3.53825136612022
"149",149,2016.48087431694,15.7131,-3.51912568306011
"150",150,2016.48360655738,11.0178,-3.51639344262298
"151",151,2016.50273224044,11.1411,-3.49726775956287
"152",152,2016.57103825137,9.1044,-3.42896174863381
"153",153,2016.65846994536,8.0208,-3.34153005464486
"154",154,2016.69945355191,13.176,-3.30054644808752
"155",155,2016.74316939891,12.0123,-3.25683060109282
"156",156,2016.7868852459,11.2185,-3.21311475409834
