"","X","dates","areas","time"
"1",1,1999.64931506849,25.983,-20.3506849315067
"2",2,1999.73698630137,30.3831,-20.2630136986302
"3",3,1999.93150684932,27.4311,-20.0684931506848
"4",4,2000.01912568306,20.6478,-19.9808743169399
"5",5,2000.04371584699,9.6075,-19.9562841530055
"6",6,2000.13114754098,5.4828,-19.8688524590164
"7",7,2000.28142076503,12.0276,-19.7185792349726
"8",8,2000.34972677596,13.5774,-19.6502732240438
"9",9,2000.52459016393,15.3675,-19.4754098360656
"10",10,2000.63114754098,37.3608,-19.3688524590164
"11",11,2000.71857923497,40.8735,-19.2814207650274
"12",12,2000.80601092896,45.504,-19.1939890710382
"13",13,2001.00547945205,21.5325,-18.9945205479453
"14",14,2001.02465753425,28.1745,-18.9753424657533
"15",15,2001.13698630137,12.1914,-18.8630136986301
"16",16,2001.2,17.1216,-18.8
"17",17,2001.24383561644,26.6256,-18.7561643835616
"18",18,2001.33150684932,13.2354,-18.668493150685
"19",19,2001.46301369863,22.7763,-18.5369863013698
"20",20,2001.48767123288,9.8388,-18.5123287671233
"21",21,2001.50684931507,19.8288,-18.4931506849316
"22",22,2001.66301369863,14.7105,-18.33698630137
"23",23,2001.68219178082,33.8364,-18.317808219178
"24",24,2001.75068493151,16.6599,-18.2493150684932
"25",25,2001.94520547945,36.8928,-18.0547945205481
"26",26,2002.07671232877,16.5267,-17.9232876712329
"27",27,2002.10136986301,13.212,-17.8986301369864
"28",28,2002.12054794521,15.0516,-17.8794520547945
"29",29,2002.18904109589,11.3229,-17.8109589041096
"30",30,2002.25205479452,25.0371,-17.7479452054795
"31",31,2002.27671232877,10.9521,-17.7232876712328
"32",32,2002.36438356164,13.9842,-17.6356164383562
"33",33,2002.40821917808,15.6798,-17.5917808219178
"34",34,2002.42739726027,23.4396,-17.5726027397261
"35",35,2002.55890410959,33.687,-17.4410958904109
"36",36,2002.75890410959,30.9924,-17.2410958904109
"37",37,2002.9095890411,41.472,-17.0904109589042
"38",38,2002.99726027397,33.3945,-17.0027397260274
"39",39,2003.06575342466,19.2447,-16.9342465753425
"40",40,2003.08493150685,25.2162,-16.9150684931508
"41",41,2003.15342465753,17.8974,-16.8465753424657
"42",42,2003.19726027397,13.1868,-16.8027397260273
"43",43,2003.21643835616,18.6813,-16.7835616438356
"44",44,2003.39178082192,21.0366,-16.6082191780822
"45",45,2003.54794520548,11.0673,-16.4520547945206
"46",46,2003.58904109589,25.1136,-16.4109589041095
"47",47,2003.65479452055,25.0515,-16.345205479452
"48",48,2003.65753424658,32.6187,-16.3424657534247
"49",49,2003.78630136986,38.6442,-16.2136986301371
"50",50,2003.87671232877,42.6213,-16.1232876712329
"51",51,2003.89589041096,38.9547,-16.1041095890412
"52",52,2003.92054794521,39.4281,-16.0794520547945
"53",53,2003.9397260274,33.5205,-16.0602739726028
"54",54,2004.05191256831,25.3521,-15.9480874316939
"55",55,2004.07103825137,24.5799,-15.9289617486338
"56",56,2004.09289617486,19.8828,-15.9071038251366
"57",57,2004.22404371585,17.9316,-15.7759562841529
"58",58,2004.29234972678,5.976,-15.7076502732241
"59",59,2004.31147540984,13.9482,-15.688524590164
"60",60,2004.31420765027,17.6049,-15.6857923497269
"61",61,2004.44262295082,20.5146,-15.5573770491803
"62",62,2004.44535519126,33.2307,-15.5546448087432
"63",63,2004.57650273224,30.8241,-15.4234972677596
"64",64,2004.77322404372,23.8041,-15.2267759562842
"65",65,2004.81693989071,26.1234,-15.1830601092897
"66",66,2004.90163934426,41.0193,-15.0983606557377
"67",67,2004.9043715847,23.787,-15.0956284153006
"68",68,2005.12054794521,23.985,-14.8794520547945
"69",69,2005.16712328767,9.5931,-14.8328767123287
"70",70,2005.18904109589,26.1945,-14.8109589041096
"71",71,2005.2301369863,16.1316,-14.7698630136986
"72",72,2005.23287671233,17.433,-14.7671232876712
"73",73,2005.25479452055,5.6043,-14.7452054794521
"74",74,2005.27397260274,14.5881,-14.7260273972602
"75",75,2005.29863013699,3.7809,-14.7013698630137
"76",76,2005.36438356164,17.7084,-14.6356164383562
"77",77,2005.38630136986,6.8292,-14.6136986301369
"78",78,2005.45205479452,21.6459,-14.5479452054794
"79",79,2005.49315068493,22.1949,-14.5068493150684
"80",80,2005.51780821918,8.2701,-14.4821917808219
"81",81,2005.56164383562,8.0208,-14.4383561643835
"82",82,2005.62465753425,30.3795,-14.3753424657534
"83",83,2005.6904109589,31.7079,-14.3095890410959
"84",84,2005.69315068493,6.8661,-14.3068493150686
"85",85,2005.84657534247,33.2658,-14.1534246575343
"86",86,2005.95616438356,9.5661,-14.0438356164384
"87",87,2005.97534246575,21.9861,-14.0246575342467
"88",88,2006.06301369863,18.306,-13.9369863013699
"89",89,2006.06575342466,19.1052,-13.9342465753425
"90",90,2006.10684931507,14.4621,-13.8931506849315
"91",91,2006.13150684931,6.2631,-13.868493150685
"92",92,2006.21917808219,5.7285,-13.7808219178082
"93",93,2006.23835616438,16.0254,-13.7616438356165
"94",94,2006.28219178082,29.6568,-13.7178082191781
"95",95,2006.41369863014,14.3676,-13.5863013698631
"96",96,2006.48219178082,10.5858,-13.5178082191781
"97",97,2006.56712328767,29.448,-13.4328767123288
"98",98,2006.58904109589,27.8001,-13.4109589041095
"99",99,2006.59178082192,32.9355,-13.4082191780822
"100",100,2006.81095890411,40.6692,-13.1890410958904
"101",101,2007.00547945205,33.5241,-12.9945205479453
"102",102,2007.09315068493,22.1382,-12.9068493150685
"103",103,2007.09589041096,8.937,-12.9041095890411
"104",104,2007.18356164384,7.3179,-12.8164383561643
"105",105,2007.24657534247,15.8283,-12.7534246575342
"106",106,2007.35890410959,12.8277,-12.641095890411
"107",107,2007.40273972603,8.4528,-12.5972602739726
"108",108,2007.53424657534,12.4407,-12.4657534246576
"109",109,2007.68493150685,34.3737,-12.3150684931506
"110",110,2007.68767123288,13.8591,-12.3123287671233
"111",111,2007.7095890411,17.2152,-12.2904109589042
"112",112,2007.88493150685,24.1137,-12.1150684931506
"113",113,2007.92876712329,20.8062,-12.0712328767124
"114",114,2008.06010928962,12.6864,-11.9398907103825
"115",115,2008.21038251366,11.4426,-11.7896174863388
"116",116,2008.27868852459,7.1172,-11.7213114754099
