"","X","dates","areas","time"
"1",1,1984.2650273224,2.646,-35.7349726775956
"2",2,1984.37704918033,2.4975,-35.622950819672
"3",3,1984.39617486339,2.475,-35.6038251366119
"4",4,1984.42076502732,2.1951,-35.5792349726776
"5",5,1984.70765027322,1.287,-35.2923497267759
"6",6,1985.4904109589,1.9377,-34.509589041096
"7",7,1986.19726027397,2.6415,-33.8027397260273
"8",8,1986.4602739726,1.9917,-33.5397260273974
"9",9,1986.47945205479,1.8864,-33.5205479452054
"10",10,1986.54794520548,1.8045,-33.4520547945206
"11",11,1987.53150684932,1.9917,-32.4684931506849
"12",12,1988.43169398907,2.3175,-31.5683060109291
"13",13,1988.51366120219,1.791,-31.4863387978141
"14",14,1988.60655737705,1.4814,-31.3934426229507
"15",15,1989.46301369863,2.5263,-30.5369863013698
"16",16,1989.52054794521,2.1807,-30.4794520547946
"17",17,1989.63835616438,1.6434,-30.3616438356164
"18",18,1990.44109589041,2.4264,-29.5589041095891
"19",19,1990.53424657534,2.0988,-29.4657534246576
"20",20,1991.58082191781,1.7055,-28.4191780821918
"21",21,1991.58630136986,1.6956,-28.4136986301369
"22",22,1992.41803278689,2.4138,-27.5819672131147
"23",23,1992.44262295082,2.2824,-27.5573770491803
"24",24,1992.66120218579,1.4778,-27.3387978142077
"25",25,1993.55616438356,1.6326,-26.4438356164383
"26",26,1993.6,1.863,-26.4000000000001
"27",27,1993.70684931507,1.7253,-26.2931506849316
"28",28,1994.3397260274,2.5281,-25.6602739726027
"29",29,1994.45753424658,2.4759,-25.5424657534247
"30",30,1994.52054794521,2.0169,-25.4794520547946
"31",31,1994.60821917808,1.6038,-25.3917808219178
"32",32,1994.67123287671,1.6191,-25.3287671232877
"33",33,1995.46575342466,0.5931,-24.5342465753424
"34",34,1995.57260273973,1.9332,-24.4273972602739
"35",35,1995.67945205479,1.5858,-24.3205479452056
"36",36,1996.74863387978,2.3139,-23.2513661202186
"37",37,1997.44931506849,2.3571,-22.5506849315068
"38",38,1997.67397260274,1.251,-22.3260273972603
"39",39,1998.65753424658,1.4544,-21.3424657534247
"40",40,1998.67671232877,1.44,-21.3232876712329
"41",41,1999.68767123288,1.4922,-20.3123287671233
"42",42,1999.71232876712,1.2762,-20.2876712328766
