"","X","dates","areas","time"
"1",1,1986.73698630137,79.1271,-33.2630136986302
"2",2,1986.93698630137,30.1257,-33.0630136986301
"3",3,1998.21369863014,19.9422,-21.7863013698629
"4",4,2000.64480874317,69.6879,-19.3551912568305
"5",5,2001.67397260274,77.1552,-18.3260273972603
"6",6,2002.24383561644,53.5572,-17.7561643835616
"7",7,2002.28767123288,91.3032,-17.7123287671234
"8",8,2002.83561643836,90.5553,-17.1643835616439
"9",9,2005.50684931507,54.675,-14.4931506849316
"10",10,2005.52876712329,75.9186,-14.4712328767123
"11",11,2006.58082191781,63.0027,-13.4191780821918
"12",12,2007.13150684931,13.9239,-12.868493150685
"13",13,2007.47945205479,24.0201,-12.5205479452054
"14",14,2008.53005464481,42.2568,-11.4699453551912
"15",15,2009.31780821918,34.7481,-10.682191780822
"16",16,2013.3698630137,56.0025,-6.6301369863013
"17",17,2013.69863013699,84.6216,-6.30136986301363
"18",18,2013.74246575342,87.4035,-6.25753424657523
"19",19,2014.48767123288,68.5368,-5.51232876712334
"20",20,2016.43715846995,56.6955,-3.56284153005458
"21",21,2016.48087431694,30.9159,-3.51912568306011
"22",22,2016.69945355191,51.1443,-3.30054644808752
"23",23,2017.57534246575,66.9375,-2.42465753424653
"24",24,2017.70684931507,84.978,-2.29315068493156
"25",25,2019.72054794521,1.5993,-0.279452054794547
